2896	1	1.35803	0.44831	14.7515
3046	1	0.841114	9.03652	4.50832
4013	2	5.63914	9.92224	7.98988
4014	2	7.15464	10.0111	7.9961
2519	2	1.66225	9.58834	9.12233
2728	1	8.31642	15.0459	4.90363
1660	1	7.53232	10.7914	-0.0199926
3047	2	0.417872	9.19924	3.66216
3426	2	2.56084	15.0125	2.5389
4042	1	0.855173	11.0261	0.146647
482	2	2.35886	13.5001	16.5124
3910	1	0.685068	14.193	0.292758
4012	1	6.43102	9.38137	8.03432
515	2	0.815238	13.5021	6.70129
937	1	0.248896	7.54907	9.99983
2775	2	10.836	7.79923	2.65258
3780	2	10.7544	12.2122	1.5536
2582	2	9.07507	8.86313	5.61237
2773	1	10.7046	8.6439	3.08946
2583	2	10.2534	8.64133	4.68121
2581	1	10.0234	8.71371	5.61043
2774	2	10.7379	9.2894	2.37965
3033	2	10.0629	12.969	3.20675
4710	2	10.5569	11.8869	5.46012
3031	1	9.61765	12.922	4.05596
3032	2	8.90133	13.5575	3.98727
4708	1	10.6577	11.3921	6.27654
4709	2	10.4908	10.4802	6.02708
1929	2	10.7729	12.8936	7.24008
1927	1	10.666	13.6787	7.78217
3427	1	9.94208	10.3536	1.07297
3778	1	10.5923	13.1581	1.52746
818	2	7.87319	3.90054	15.1147
3242	2	0.39992	4.97007	5.41423
3429	2	10.3688	9.83455	0.387299
339	2	10.1102	8.69293	7.50538
4824	2	2.63087	-0.290502	8.75422
3566	2	8.48314	1.03594	10.2106
3424	1	2.0025	14.2516	2.71469
3057	2	5.77669	6.5129	8.01565
514	1	0.275022	13.6513	5.92186
1635	2	7.52834	-0.358449	7.44352
4316	2	17.3118	11.1373	16.555
2914	1	10.062	2.53418	0.46621
2454	2	0.385627	3.33317	14.6728
1940	2	0.721887	1.12334	9.36477
3923	2	6.6796	1.50149	12.3958
950	2	0.244713	11.2146	6.90638
1964	2	3.15094	4.01272	12.4034
4728	2	1.15207	1.87408	15.6492
2128	1	6.01908	3.79189	8.75764
1005	2	4.89045	2.6219	9.74462
4647	2	4.3258	0.848579	15.196
4726	1	0.803472	2.48694	16.3007
1274	2	8.08249	0.377367	14.2925
717	2	7.45816	15.1574	2.04364
4392	2	3.47352	2.57028	14.0124
4822	1	2.32588	0.591773	8.53023
3924	2	5.43928	1.78836	11.5687
4823	2	2.82315	1.17259	9.11073
1003	1	4.20323	2.04506	10.0861
1004	2	3.7505	2.5751	10.7461
4812	2	3.84762	4.43146	14.9904
819	2	8.033	3.14428	13.8081
427	1	6.47394	6.54217	15.3858
1976	2	7.15155	5.68342	13.0303
2130	2	6.73606	3.54396	9.34591
2158	1	3.61457	5.94187	12.5221
2159	2	4.51531	6.25152	12.4023
2160	2	3.16721	6.18274	11.7076
3803	2	7.06512	3.48508	11.5147
3802	1	7.56821	4.15712	11.049
3804	2	8.48568	3.93147	11.219
400	1	5.52308	6.24837	9.90794
429	2	5.62384	6.16895	15.63
401	2	6.40243	6.62671	9.8359
402	2	5.64873	5.31297	9.73235
1963	1	2.88549	3.11088	12.2089
1965	2	2.07021	2.98889	12.7008
1975	1	6.50401	6.2881	12.6607
817	1	7.95575	4.03121	14.1672
428	2	6.50697	6.4597	14.4299
4810	1	3.74325	5.3517	15.2431
4811	2	3.63499	5.8186	14.4113
4035	2	1.15094	4.37394	16.6723
1977	2	6.38468	5.98906	11.7563
3922	1	5.97642	2.14473	12.2801
4390	1	4.11793	2.44317	14.7125
4391	2	4.96779	2.55329	14.2798
4034	2	2.1387	5.48044	16.3488
1273	1	8.64931	0.950101	13.7706
